,CRACK_SPREAD_321
1997-06-25,63.81
1997-06-26,64.23
1997-06-27,63.036
1997-06-30,61.29
1997-07-01,60.92400000000001
1997-07-02,60.084
1997-07-03,61.932000000000016
1997-07-07,61.614
1997-07-08,61.27799999999999
1997-07-09,62.00400000000001
1997-07-10,62.25
1997-07-11,61.866
1997-07-14,62.604
1997-07-15,60.438
1997-07-16,61.158
1997-07-17,60.52799999999999
1997-07-18,61.914
1997-07-21,62.328
1997-07-22,62.622
1997-07-23,61.50000000000001
1997-07-24,61.368
1997-07-25,61.62
1997-07-28,61.362
1997-07-29,60.426
1997-07-30,59.838
1997-07-31,60.43199999999999
1997-08-01,60.48599999999999
1997-08-04,61.47000000000001
1997-08-05,61.32
1997-08-06,61.68
1997-08-07,62.11800000000001
1997-08-08,63.22800000000001
1997-08-11,65.676
1997-08-12,65.38799999999999
1997-08-13,65.00999999999999
1997-08-14,65.268
1997-08-15,64.962
1997-08-18,65.25599999999999
1997-08-19,65.166
1997-08-20,64.86599999999999
1997-08-21,65.04
1997-08-22,65.22
1997-08-25,66.95400000000001
1997-08-26,66.852
1997-08-27,66.37800000000001
1997-08-28,66.306
1997-08-29,66.09599999999999
1997-09-01,66.012
1997-09-02,66.138
1997-09-03,66.21000000000001
1997-09-04,66.36000000000001
1997-09-05,66.33
1997-09-08,66.45000000000002
1997-09-09,65.90400000000001
1997-09-10,65.52600000000001
1997-09-11,65.92200000000001
1997-09-12,66.37800000000001
1997-09-15,65.916
1997-09-16,65.478
1997-09-17,65.99999999999999
1997-09-18,66.468
1997-09-19,66.882
1997-09-22,65.448
1997-09-23,64.89599999999999
1997-09-24,64.482
1997-09-25,63.80999999999999
1997-09-26,63.01199999999999
1997-09-29,60.91200000000001
1997-09-30,61.30800000000001
1997-10-01,61.428
1997-10-02,59.742
1997-10-03,57.21000000000001
1997-10-06,58.872000000000014
1997-10-07,59.18400000000001
1997-10-08,58.33800000000001
1997-10-09,58.668000000000006
1997-10-10,58.75200000000001
1997-10-13,59.376000000000005
1997-10-14,60.852
1997-10-15,61.19400000000001
1997-10-16,60.75
1997-10-17,59.082
1997-10-20,60.695999999999984
1997-10-21,60.81
1997-10-22,58.86599999999999
1997-10-23,59.31
1997-10-24,59.46000000000001
1997-10-27,58.66799999999999
1997-10-28,60.054
1997-10-29,59.13
1997-10-30,58.482
1997-10-31,58.75199999999999
1997-11-01,58.75199999999999
1997-11-03,59.11200000000001
1997-11-04,59.628
1997-11-05,59.934
1997-11-06,60.00000000000001
1997-11-07,59.148
1997-11-10,60.084
1997-11-11,60.01199999999999
1997-11-12,60.16799999999999
1997-11-13,59.856
1997-11-14,59.526
1997-11-17,60.38399999999999
1997-11-18,61.014
1997-11-19,61.12199999999999
1997-11-20,62.694
1997-11-21,60.96600000000001
1997-11-24,61.59599999999999
1997-11-25,61.77599999999999
1997-11-26,61.344
1997-11-27,61.344
1997-11-28,61.344
1997-12-01,61.27799999999999
1997-12-02,61.42199999999998
1997-12-03,61.212
1997-12-04,62.13
1997-12-05,61.818
1997-12-08,60.432
1997-12-09,60.34799999999999
1997-12-10,61.68
1997-12-11,61.50599999999999
1997-12-12,61.584
1997-12-15,60.83400000000001
1997-12-16,60.762
1997-12-17,60.84
1997-12-18,60.18000000000001
1997-12-19,60.12
1997-12-22,59.37000000000001
1997-12-23,59.11200000000001
1997-12-24,59.11800000000001
1997-12-26,59.37599999999999
1997-12-29,60.018
1997-12-30,60.222
1997-12-31,59.946000000000005
1998-01-01,59.946000000000005
1998-01-02,60.582
1998-01-05,60.57600000000001
1998-01-06,61.086
1998-01-07,60.36
1998-01-08,60.228
1998-01-09,60.846
1998-01-12,60.53399999999999
1998-01-13,60.71999999999999
1998-01-14,60.63
1998-01-15,61.07399999999999
1998-01-16,60.978
1998-01-19,60.054
1998-01-20,60.12
1998-01-21,61.05
1998-01-22,61.284
1998-01-23,61.578
1998-01-26,57.47999999999998
1998-01-27,57.13799999999999
1998-01-28,56.646
1998-01-29,55.49399999999999
1998-01-30,57.10799999999998
1998-02-01,57.10799999999998
1998-02-02,56.98199999999999
1998-02-03,58.06199999999999
1998-02-04,57.83999999999999
1998-02-05,57.588
1998-02-06,57.36
1998-02-09,57.078
1998-02-10,57.492
1998-02-11,58.002
1998-02-12,58.35
1998-02-13,58.044
1998-02-16,56.952
1998-02-17,57.702
1998-02-18,56.53200000000001
1998-02-19,56.976
1998-02-20,56.82000000000001
1998-02-23,59.18400000000001
1998-02-24,59.664
1998-02-25,59.496000000000016
1998-02-26,59.14800000000001
1998-02-27,59.058000000000014
1998-03-01,59.058000000000014
1998-03-02,57.98999999999999
1998-03-03,58.06799999999999
1998-03-04,58.08599999999999
1998-03-05,58.098
1998-03-06,59.03999999999999
1998-03-09,58.78199999999999
1998-03-10,58.146
1998-03-11,59.36999999999999
1998-03-12,59.06999999999999
1998-03-13,59.61600000000001
1998-03-16,60.402
1998-03-17,59.832000000000015
1998-03-18,58.812
1998-03-19,58.392
1998-03-20,58.752
1998-03-23,54.47999999999999
1998-03-24,55.835999999999984
1998-03-25,52.95599999999999
1998-03-26,52.30799999999999
1998-03-27,52.548
1998-03-30,55.82999999999999
1998-03-31,57.120000000000005
1998-04-01,57.594
1998-04-02,56.502
1998-04-03,56.676
1998-04-06,57.25799999999998
1998-04-07,57.52799999999998
1998-04-08,56.81999999999999
1998-04-09,57.03599999999999
1998-04-13,57.18600000000001
1998-04-14,57.276
1998-04-15,56.736
1998-04-16,56.04
1998-04-17,57.144000000000005
1998-04-20,57.43199999999999
1998-04-21,57.28199999999999
1998-04-22,58.614
1998-04-23,64.386
1998-04-24,63.966
1998-04-27,58.458000000000006
1998-04-28,57.384
1998-04-29,58.374
1998-04-30,57.81600000000001
1998-05-01,57.132000000000005
1998-05-04,58.32000000000001
1998-05-05,59.23200000000001
1998-05-06,58.860000000000014
1998-05-07,59.304
1998-05-08,59.202000000000005
1998-05-11,60.18600000000001
1998-05-12,60.336000000000006
1998-05-13,60.768
1998-05-14,60.348
1998-05-15,61.84800000000001
1998-05-18,63.05399999999999
1998-05-19,66.34799999999998
1998-05-20,64.794
1998-05-21,62.66399999999998
1998-05-22,60.528
1998-05-25,60.27600000000002
1998-05-26,60.132000000000005
1998-05-27,59.93400000000001
